address,region,Date,price,event
85 Byram Ridge Rd,"Armonk, NY 10504",06/10/2019,"$2,300,000",Sold
85 Byram Ridge Rd,"Armonk, NY 10504",11/18/2018,"$2,300,000",Posting Removed
85 Byram Ridge Rd,"Armonk, NY 10504",05/04/2018,"$2,300,000",Posting Removed
85 Byram Ridge Rd,"Armonk, NY 10504",06/14/2017,"$2,300,000",Listed For Sale
85 Byram Ridge Rd,"Armonk, NY 10504",06/12/2017,"$753,000",Sold
85 Byram Ridge Rd,"Armonk, NY 10504",09/07/2016,"$755,000",Posting Removed
85 Byram Ridge Rd,"Armonk, NY 10504",09/06/2016,"$3,300",Sold
85 Byram Ridge Rd,"Armonk, NY 10504",08/03/2016,"$755,000",Price Change
85 Byram Ridge Rd,"Armonk, NY 10504",03/08/2016,"$785,000",Listed For Sale
85 Byram Ridge Rd,"Armonk, NY 10504",08/18/2015,"$780,000",Posting Removed
85 Byram Ridge Rd,"Armonk, NY 10504",08/15/2015,"$3,650",Sold
85 Byram Ridge Rd,"Armonk, NY 10504",05/06/2015,"$780,000",Listed For Sale
85 Byram Ridge Rd,"Armonk, NY 10504",02/02/2015,"$3,000",Sold
85 Byram Ridge Rd,"Armonk, NY 10504",01/01/2015,"$759,000",Posting Removed
85 Byram Ridge Rd,"Armonk, NY 10504",09/20/2014,"$759,000",Price Change
85 Byram Ridge Rd,"Armonk, NY 10504",05/31/2014,"$799,000",Price Change
85 Byram Ridge Rd,"Armonk, NY 10504",05/06/2014,"$849,000",Listed For Sale
85 Byram Ridge Rd,"Armonk, NY 10504",03/08/2007,"$750,000",Sold
38 Sarles St,"Armonk, NY 10504",06/06/2019,"$1,150,000",Sold
38 Sarles St,"Armonk, NY 10504",03/22/2019,"$1,130,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",03/21/2019,"$1,130,000",Pending
38 Sarles St,"Armonk, NY 10504",03/10/2019,"$1,130,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",03/03/2019,"$1,130,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",01/04/2019,"$1,130,000",Listed For Sale
38 Sarles St,"Armonk, NY 10504",11/19/2018,"$1,190,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",09/28/2018,"$1,190,000",Price Change
38 Sarles St,"Armonk, NY 10504",09/02/2018,"$1,280,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",07/29/2018,"$1,280,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",07/26/2018,"$1,280,000",Price Change
38 Sarles St,"Armonk, NY 10504",07/05/2018,"$1,425,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",07/01/2018,"$1,425,000",Posting Removed
38 Sarles St,"Armonk, NY 10504",05/09/2018,"$1,425,000",Price Change
38 Sarles St,"Armonk, NY 10504",04/16/2018,"$1,595,000",Listed For Sale
38 Sarles St,"Armonk, NY 10504",05/23/2013,"$1,145,000",Sold
3 Norman Pl,"Armonk, NY 10504",05/31/2019,"$769,000",Sold
3 Norman Pl,"Armonk, NY 10504",02/15/2019,"$769,000",Posting Removed
3 Norman Pl,"Armonk, NY 10504",02/14/2019,"$769,000",Pending
3 Norman Pl,"Armonk, NY 10504",12/28/2018,"$769,000",Posting Removed
3 Norman Pl,"Armonk, NY 10504",11/28/2018,"$769,000",Price Change
3 Norman Pl,"Armonk, NY 10504",09/21/2018,"$799,000",Listed For Sale
20 Byram Brook Pl,"Armonk, NY 10504",05/30/2019,"$742,000",Sold
20 Byram Brook Pl,"Armonk, NY 10504",04/19/2019,"$769,500",Posting Removed
20 Byram Brook Pl,"Armonk, NY 10504",04/18/2019,"$769,500",Pending
20 Byram Brook Pl,"Armonk, NY 10504",03/14/2019,"$769,500",Price Change
20 Byram Brook Pl,"Armonk, NY 10504",03/10/2019,"$797,000",Posting Removed
20 Byram Brook Pl,"Armonk, NY 10504",03/03/2019,"$797,000",Posting Removed
20 Byram Brook Pl,"Armonk, NY 10504",12/05/2018,"$797,000",Price Change
20 Byram Brook Pl,"Armonk, NY 10504",12/02/2018,"$840,000",Posting Removed
20 Byram Brook Pl,"Armonk, NY 10504",11/09/2018,"$840,000",Listed For Sale
3 Kavey Pl,"Armonk, NY 10504",05/29/2019,"$860,000",Sold
3 Kavey Pl,"Armonk, NY 10504",04/16/2019,"$899,000",Posting Removed
3 Kavey Pl,"Armonk, NY 10504",11/29/2018,"$899,000",Price Change
3 Kavey Pl,"Armonk, NY 10504",11/13/2018,"$919,000",Price Change
3 Kavey Pl,"Armonk, NY 10504",10/15/2018,"$949,000",Listed For Sale
3 Kavey Pl,"Armonk, NY 10504",02/03/2015,"$955,000",Sold
3 Kavey Pl,"Armonk, NY 10504",10/29/2014,"$985,000",Posting Removed
3 Kavey Pl,"Armonk, NY 10504",04/25/2014,"$985,000",Listed For Sale
3 Kavey Pl,"Armonk, NY 10504",07/23/2013,"$999,999",Posting Removed
3 Kavey Pl,"Armonk, NY 10504",07/19/2013,"$999,999",Listed For Sale
3 Kavey Pl,"Armonk, NY 10504",04/14/2013,"$999,999",Price Change
3 Kavey Pl,"Armonk, NY 10504",02/08/2013,"$1,058,000",Listed For Sale
3 Kavey Pl,"Armonk, NY 10504",08/16/2005,"$975,000",Sold
3 Kavey Pl,"Armonk, NY 10504",09/19/1996,"$320,000",Sold
2 Holly Knls,"Armonk, NY 10504",05/01/2019,"$1,500,000",Sold
2 Holly Knls,"Armonk, NY 10504",08/30/2016,"$1,100,000",Posting Removed
2 Holly Knls,"Armonk, NY 10504",07/27/2016,"$1,100,000",Price Change
2 Holly Knls,"Armonk, NY 10504",06/16/2016,"$1,150,000",Listed For Sale
1 The Knl,"Armonk, NY 10504",03/28/2019,"$1,450,000",Sold
1 The Knl,"Armonk, NY 10504",12/18/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",12/17/2018,"$1,595,000",Pending
1 The Knl,"Armonk, NY 10504",12/02/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",09/02/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",07/29/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",07/05/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",07/01/2018,"$1,595,000",Listed For Sale
1 The Knl,"Armonk, NY 10504",03/22/2018,"$1,595,000",Listed For Sale
1 The Knl,"Armonk, NY 10504",02/16/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",02/04/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",01/02/2018,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",11/15/2017,"$1,595,000",Posting Removed
1 The Knl,"Armonk, NY 10504",05/30/2017,"$1,595,000",Price Change
1 The Knl,"Armonk, NY 10504",03/06/2017,"$1,649,000",Listed For Sale
1 The Knl,"Armonk, NY 10504",10/26/2016,"$1,749,000",Posting Removed
1 The Knl,"Armonk, NY 10504",03/22/2016,"$1,749,000",Listed For Sale
1 The Knl,"Armonk, NY 10504",09/30/2013,"$1,695,000",Sold
1 The Knl,"Armonk, NY 10504",06/24/2013,"$1,749,000",Posting Removed
1 The Knl,"Armonk, NY 10504",05/07/2013,"$1,749,000",Listed For Sale
1 The Knl,"Armonk, NY 10504",11/09/2005,"$1,725,000",Sold
10 Cobblers Ln,"Armonk, NY 10504",02/25/2019,"$1,270,000",Sold
10 Cobblers Ln,"Armonk, NY 10504",12/13/2018,"$1,399,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",12/12/2018,"$1,399,000",Pending
10 Cobblers Ln,"Armonk, NY 10504",12/02/2018,"$1,399,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",09/11/2018,"$1,399,000",Listed For Sale
10 Cobblers Ln,"Armonk, NY 10504",08/01/2018,"$1,399,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",07/29/2018,"$1,399,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",07/13/2018,"$1,399,000",Price Change
10 Cobblers Ln,"Armonk, NY 10504",06/15/2018,"$1,499,999",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",05/05/2018,"$1,499,999",Listed For Sale
10 Cobblers Ln,"Armonk, NY 10504",11/06/2017,"$1,799,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",08/28/2017,"$1,799,000",Listed For Sale
10 Cobblers Ln,"Armonk, NY 10504",12/01/2015,"$1,645,000",Sold
10 Cobblers Ln,"Armonk, NY 10504",07/16/2015,"$1,645,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",06/17/2015,"$1,645,000",Listed For Sale
10 Cobblers Ln,"Armonk, NY 10504",12/15/2014,"$1,695,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",02/18/2014,"$1,695,000",Listed For Sale
10 Cobblers Ln,"Armonk, NY 10504",11/27/2013,"$1,999,000",Posting Removed
10 Cobblers Ln,"Armonk, NY 10504",03/12/2013,"$1,999,000",Price Change
10 Cobblers Ln,"Armonk, NY 10504",11/27/2012,"$2,195,000",Listed For Sale
10 Cobblers Ln,"Armonk, NY 10504",09/22/2010,"$384,138",Sold
29 Banksville Rd,"Armonk, NY 10504",02/22/2019,"$730,000",Sold
29 Banksville Rd,"Armonk, NY 10504",11/09/2018,"$740,000",Posting Removed
29 Banksville Rd,"Armonk, NY 10504",10/19/2018,"$740,000",Listed For Sale
29 Banksville Rd,"Armonk, NY 10504",07/26/2011,"$600,000",Sold
29 Banksville Rd,"Armonk, NY 10504",04/14/2011,"$619,000",Posting Removed
29 Banksville Rd,"Armonk, NY 10504",03/17/2011,"$619,000",Listed For Sale
29 Banksville Rd,"Armonk, NY 10504",12/19/2010,"$670,000",Posting Removed
29 Banksville Rd,"Armonk, NY 10504",11/19/2010,"$670,000",Listed For Sale
9 Palmer Pl,"Armonk, NY 10504",02/19/2019,"$975,000",Sold
9 Palmer Pl,"Armonk, NY 10504",01/15/2019,"$1,099,650",Posting Removed
9 Palmer Pl,"Armonk, NY 10504",12/11/2018,"$1,099,650",Price Change
9 Palmer Pl,"Armonk, NY 10504",11/10/2018,"$1,157,500",Price Change
9 Palmer Pl,"Armonk, NY 10504",10/29/2018,"$1,487,338",Sold
9 Palmer Pl,"Armonk, NY 10504",10/10/2018,"$1,218,375",Price Change
9 Palmer Pl,"Armonk, NY 10504",09/10/2018,"$1,282,500",Price Change
9 Palmer Pl,"Armonk, NY 10504",08/14/2018,"$1,350,000",Listed For Sale
9 Palmer Pl,"Armonk, NY 10504",08/25/2009,"$2,350,000",Posting Removed
9 Palmer Pl,"Armonk, NY 10504",07/05/2009,"$2,350,000",Listed For Sale
9 Palmer Pl,"Armonk, NY 10504",07/03/2009,"$1,800,000",Posting Removed
9 Palmer Pl,"Armonk, NY 10504",03/06/2009,"$1,800,000",Price Change
9 Palmer Pl,"Armonk, NY 10504",10/24/2008,"$1,995,000",Price Change
9 Palmer Pl,"Armonk, NY 10504",09/30/2008,"$2,150,000",Price Change
9 Palmer Pl,"Armonk, NY 10504",05/29/2008,"$2,350,000",Listed For Sale
11 Cider Mill Cir,"Armonk, NY 10504",01/30/2019,"$950,000",Sold
11 Cider Mill Cir,"Armonk, NY 10504",12/13/2018,"$999,000",Posting Removed
11 Cider Mill Cir,"Armonk, NY 10504",12/12/2018,"$999,000",Pending
11 Cider Mill Cir,"Armonk, NY 10504",12/02/2018,"$999,000",Posting Removed
11 Cider Mill Cir,"Armonk, NY 10504",09/24/2018,"$999,000",Price Change
11 Cider Mill Cir,"Armonk, NY 10504",09/02/2018,"$1,050,000",Posting Removed
11 Cider Mill Cir,"Armonk, NY 10504",07/29/2018,"$1,050,000",Posting Removed
11 Cider Mill Cir,"Armonk, NY 10504",07/17/2018,"$1,050,000",Listed For Sale
11 Cider Mill Cir,"Armonk, NY 10504",10/01/2017,"$6,500",Sold
11 Cider Mill Cir,"Armonk, NY 10504",08/01/2017,"$1,149,000",Posting Removed
11 Cider Mill Cir,"Armonk, NY 10504",03/13/2017,"$1,149,000",Price Change
11 Cider Mill Cir,"Armonk, NY 10504",02/01/2017,"$1,199,000",Listed For Sale
11 Cider Mill Cir,"Armonk, NY 10504",07/31/2009,"$1,020,000",Sold
11 Cider Mill Cir,"Armonk, NY 10504",06/21/2009,"$1,050,000",Posting Removed
11 Cider Mill Cir,"Armonk, NY 10504",04/17/2009,"$1,050,000",Listed For Sale
6 Hunter Dr,"Armonk, NY 10504",01/26/2019,"$618,000",Posting Removed
6 Hunter Dr,"Armonk, NY 10504",01/25/2019,"$610,000",Sold
6 Hunter Dr,"Armonk, NY 10504",11/27/2018,"$618,000",Pending
6 Hunter Dr,"Armonk, NY 10504",10/25/2018,"$618,000",Listed For Sale
6 Hunter Dr,"Armonk, NY 10504",09/13/2018,"$153,750",Sold
6 Hunter Dr,"Armonk, NY 10504",07/18/2012,"$540,000",Sold
6 Hunter Dr,"Armonk, NY 10504",02/23/2012,"$599,500",Posting Removed
6 Hunter Dr,"Armonk, NY 10504",10/09/2011,"$599,500",Price Change
6 Hunter Dr,"Armonk, NY 10504",09/16/2011,"$624,500",Price Change
6 Hunter Dr,"Armonk, NY 10504",07/12/2011,"$649,000",Price Change
6 Hunter Dr,"Armonk, NY 10504",06/21/2011,"$679,000",Listed For Sale
23 Skyview Dr,"Armonk, NY 10504",01/21/2019,"$1,125,000",Sold
23 Skyview Dr,"Armonk, NY 10504",11/16/2018,"$1,195,000",Posting Removed
23 Skyview Dr,"Armonk, NY 10504",09/27/2018,"$1,195,000",Listed For Sale
23 Skyview Dr,"Armonk, NY 10504",08/21/2018,"$1,275,000",Posting Removed
23 Skyview Dr,"Armonk, NY 10504",07/17/2018,"$1,275,000",Price Change
23 Skyview Dr,"Armonk, NY 10504",07/17/2018,"$1,389,000",Posting Removed
23 Skyview Dr,"Armonk, NY 10504",06/14/2018,"$1,389,000",Price Change
23 Skyview Dr,"Armonk, NY 10504",06/08/2018,"$1,479,000",Price Change
23 Skyview Dr,"Armonk, NY 10504",05/31/2018,"$1,525,000",Price Change
23 Skyview Dr,"Armonk, NY 10504",05/05/2018,"$1,599,000",Listed For Sale
23 Skyview Dr,"Armonk, NY 10504",07/17/2002,"$969,000",Sold
23 Skyview Dr,"Armonk, NY 10504",08/01/2000,"$940,000",Sold
61 High St,"Armonk, NY 10504",12/31/2018,"$570,000",Sold
61 High St,"Armonk, NY 10504",12/13/2018,"$590,000",Posting Removed
61 High St,"Armonk, NY 10504",09/18/2018,"$590,000",Price Change
61 High St,"Armonk, NY 10504",05/09/2018,"$635,000",Listed For Sale
61 High St,"Armonk, NY 10504",02/28/2018,"$635,000",Posting Removed
61 High St,"Armonk, NY 10504",02/26/2018,"$635,000",Listed For Sale
61 High St,"Armonk, NY 10504",01/25/2018,"$650,000",Posting Removed
61 High St,"Armonk, NY 10504",10/25/2017,"$650,000",Listed For Sale
17 Whippoorwill Xing,"Armonk, NY 10504",12/21/2018,"$1,050,000",Sold
17 Whippoorwill Xing,"Armonk, NY 10504",09/05/2018,"$1,095,000",Posting Removed
17 Whippoorwill Xing,"Armonk, NY 10504",07/11/2018,"$1,095,000",Price Change
17 Whippoorwill Xing,"Armonk, NY 10504",05/17/2018,"$1,125,000",Price Change
17 Whippoorwill Xing,"Armonk, NY 10504",01/03/2018,"$1,175,000",Listed For Sale
17 Whippoorwill Xing,"Armonk, NY 10504",11/20/2017,"$1,275,000",Posting Removed
17 Whippoorwill Xing,"Armonk, NY 10504",04/27/2017,"$1,275,000",Listed For Sale
10 Bayberry Rd,"Armonk, NY 10504",12/18/2018,"$1,633,000",Sold
10 Bayberry Rd,"Armonk, NY 10504",10/15/2018,"$1,675,000",Pending
10 Bayberry Rd,"Armonk, NY 10504",08/06/2018,"$1,675,000",Price Change
10 Bayberry Rd,"Armonk, NY 10504",07/20/2018,"$1,750,000",Posting Removed
10 Bayberry Rd,"Armonk, NY 10504",07/05/2018,"$1,750,000",Posting Removed
10 Bayberry Rd,"Armonk, NY 10504",06/20/2018,"$1,750,000",Price Change
10 Bayberry Rd,"Armonk, NY 10504",05/31/2018,"$1,849,000",Posting Removed
10 Bayberry Rd,"Armonk, NY 10504",04/22/2018,"$1,849,000",Posting Removed
10 Bayberry Rd,"Armonk, NY 10504",04/17/2018,"$1,849,000",Listed For Sale
10 Bayberry Rd,"Armonk, NY 10504",11/07/2016,"$8,250",Sold
10 Bayberry Rd,"Armonk, NY 10504",02/01/2005,"$2,849,000",Sold
28 Green Valley Rd,"Armonk, NY 10504",12/11/2018,"$1,500,000",Sold
28 Green Valley Rd,"Armonk, NY 10504",10/23/2018,"$1,585,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",09/09/2018,"$1,585,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",08/27/2018,"$1,629,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",06/26/2018,"$1,574,500",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",05/24/2018,"$1,574,500",Price Change
28 Green Valley Rd,"Armonk, NY 10504",05/01/2018,"$1,599,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",04/14/2018,"$1,629,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",01/05/2018,"$1,629,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",12/13/2017,"$1,629,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",11/16/2017,"$1,649,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",03/28/2017,"$1,699,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",01/25/2017,"$1,799,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",11/30/2016,"$1,739,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",09/12/2016,"$1,739,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",05/14/2016,"$1,849,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",12/27/2015,"$1,925,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",09/16/2015,"$1,925,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",07/22/2015,"$1,975,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",05/20/2015,"$2,150,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",02/01/2015,"$2,195,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",05/23/2014,"$2,195,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",11/25/2013,"$2,395,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",09/07/2013,"$2,395,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",07/10/2013,"$2,495,000",Price Change
28 Green Valley Rd,"Armonk, NY 10504",04/27/2013,"$2,595,000",Listed For Sale
28 Green Valley Rd,"Armonk, NY 10504",01/18/2013,"$2,849,000",Posting Removed
28 Green Valley Rd,"Armonk, NY 10504",06/16/2012,"$2,849,000",Listed For Sale
9 Caruso Pl,"Armonk, NY 10504",11/30/2018,"$875,000",Sold
9 Caruso Pl,"Armonk, NY 10504",09/05/2018,"$999,000",Posting Removed
9 Caruso Pl,"Armonk, NY 10504",09/04/2018,"$999,000",Pending
9 Caruso Pl,"Armonk, NY 10504",09/02/2018,"$999,000",Posting Removed
9 Caruso Pl,"Armonk, NY 10504",08/02/2018,"$999,000",Posting Removed
9 Caruso Pl,"Armonk, NY 10504",07/29/2018,"$999,000",Posting Removed
9 Caruso Pl,"Armonk, NY 10504",07/01/2018,"$999,000",Posting Removed
9 Caruso Pl,"Armonk, NY 10504",06/11/2018,"$999,000",Listed For Sale
14 Elizabeth Pl,"Armonk, NY 10504",11/26/2018,"$799,000",Posting Removed
14 Elizabeth Pl,"Armonk, NY 10504",11/21/2018,"$755,000",Sold
14 Elizabeth Pl,"Armonk, NY 10504",10/11/2018,"$799,000",Pending
14 Elizabeth Pl,"Armonk, NY 10504",09/14/2018,"$799,000",Price Change
14 Elizabeth Pl,"Armonk, NY 10504",07/29/2018,"$850,000",Price Change
14 Elizabeth Pl,"Armonk, NY 10504",06/20/2018,"$899,999",Price Change
14 Elizabeth Pl,"Armonk, NY 10504",06/07/2018,"$950,000",Listed For Sale
70 Byram Ridge Rd,"Armonk, NY 10504",11/19/2018,"$2,218,840",Sold
70 Byram Ridge Rd,"Armonk, NY 10504",10/05/2018,"$2,475,000",Pending
70 Byram Ridge Rd,"Armonk, NY 10504",05/30/2018,"$2,475,000",Price Change
70 Byram Ridge Rd,"Armonk, NY 10504",01/31/2018,"$2,575,000",Price Change
70 Byram Ridge Rd,"Armonk, NY 10504",01/30/2018,"$2,645,000",Posting Removed
70 Byram Ridge Rd,"Armonk, NY 10504",01/01/2018,"$2,645,000",Posting Removed
70 Byram Ridge Rd,"Armonk, NY 10504",10/29/2017,"$2,645,000",Price Change
70 Byram Ridge Rd,"Armonk, NY 10504",05/09/2017,"$2,575,000",Listed For Sale
70 Byram Ridge Rd,"Armonk, NY 10504",04/27/2017,"$820,000",Sold
70 Byram Ridge Rd,"Armonk, NY 10504",06/08/1995,"$250,000",Sold
82 Cox Ave,"Armonk, NY 10504",11/16/2018,"$675,000",Sold
82 Cox Ave,"Armonk, NY 10504",07/26/1994,"$236,500",Sold
8 Quinby Ridge Rd,"Armonk, NY 10504",11/08/2018,"$1,525,000",Sold
8 Quinby Ridge Rd,"Armonk, NY 10504",08/17/2018,"$1,599,000",Posting Removed
8 Quinby Ridge Rd,"Armonk, NY 10504",04/18/2018,"$1,599,000",Listed For Sale
8 Quinby Ridge Rd,"Armonk, NY 10504",09/25/2008,"$1,725,000",Sold
8 Quinby Ridge Rd,"Armonk, NY 10504",10/28/1997,"$1,100,000",Sold
20 Fawn Ln,"Armonk, NY 10504",11/08/2018,"$1,795,000",Sold
20 Fawn Ln,"Armonk, NY 10504",10/06/2018,"$1,945,000",Posting Removed
20 Fawn Ln,"Armonk, NY 10504",10/05/2018,"$1,945,000",Pending
20 Fawn Ln,"Armonk, NY 10504",09/02/2018,"$1,945,000",Posting Removed
20 Fawn Ln,"Armonk, NY 10504",07/29/2018,"$1,945,000",Posting Removed
20 Fawn Ln,"Armonk, NY 10504",07/05/2018,"$1,945,000",Posting Removed
20 Fawn Ln,"Armonk, NY 10504",07/01/2018,"$1,945,000",Posting Removed
20 Fawn Ln,"Armonk, NY 10504",06/14/2018,"$1,945,000",Price Change
20 Fawn Ln,"Armonk, NY 10504",05/14/2018,"$1,995,000",Price Change
20 Fawn Ln,"Armonk, NY 10504",04/19/2018,"$2,095,000",Price Change
20 Fawn Ln,"Armonk, NY 10504",03/04/2018,"$2,195,000",Posting Removed
20 Fawn Ln,"Armonk, NY 10504",02/26/2018,"$2,195,000",Listed For Sale
20 Fawn Ln,"Armonk, NY 10504",10/31/1996,"$975,000",Sold
13 Greenway Rd,"Armonk, NY 10504",11/08/2018,"$1,025,000",Sold
13 Greenway Rd,"Armonk, NY 10504",09/07/2018,"$1,095,000",Posting Removed
13 Greenway Rd,"Armonk, NY 10504",04/30/2018,"$1,095,000",Listed For Sale
13 Greenway Rd,"Armonk, NY 10504",09/03/2015,"$540,000",Sold
14 Cole Dr,"Armonk, NY 10504",11/08/2018,"$4,600,000",Sold
14 Cole Dr,"Armonk, NY 10504",09/18/2018,"$5,600,000",Posting Removed
14 Cole Dr,"Armonk, NY 10504",05/25/2018,"$5,600,000",Listed For Sale
14 Cole Dr,"Armonk, NY 10504",01/29/2004,"$3,600,000",Sold
14 Cole Dr,"Armonk, NY 10504",05/16/1994,"$990,000",Sold
7 Nichols Rd,"Armonk, NY 10504",11/07/2018,"$765,000",Sold
7 Nichols Rd,"Armonk, NY 10504",08/10/2018,"$765,000",Posting Removed
7 Nichols Rd,"Armonk, NY 10504",06/06/2018,"$765,000",Price Change
7 Nichols Rd,"Armonk, NY 10504",05/29/2018,"$775,000",Posting Removed
7 Nichols Rd,"Armonk, NY 10504",03/15/2018,"$775,000",Price Change
7 Nichols Rd,"Armonk, NY 10504",03/04/2018,"$820,000",Posting Removed
7 Nichols Rd,"Armonk, NY 10504",02/09/2018,"$820,000",Listed For Sale
38 Green Valley Rd,"Armonk, NY 10504",11/05/2018,"$1,152,500",Sold
38 Green Valley Rd,"Armonk, NY 10504",10/15/2018,"$1,195,000",Posting Removed
38 Green Valley Rd,"Armonk, NY 10504",06/28/2018,"$1,195,000",Price Change
38 Green Valley Rd,"Armonk, NY 10504",05/01/2018,"$1,275,000",Price Change
38 Green Valley Rd,"Armonk, NY 10504",03/15/2018,"$1,399,000",Listed For Sale
38 Green Valley Rd,"Armonk, NY 10504",09/06/2017,"$1,599,999",Posting Removed
38 Green Valley Rd,"Armonk, NY 10504",09/05/2017,"$1,599,999",Posting Removed
38 Green Valley Rd,"Armonk, NY 10504",07/10/2017,"$1,599,999",Listed For Sale
26 Round Hill Rd,"Armonk, NY 10504",10/31/2018,"$970,000",Sold
26 Round Hill Rd,"Armonk, NY 10504",03/14/2018,"$1,250,000",Posting Removed
26 Round Hill Rd,"Armonk, NY 10504",02/06/2018,"$1,250,000",Listed For Sale
26 Round Hill Rd,"Armonk, NY 10504",11/24/2017,"$1,850,000",Posting Removed
26 Round Hill Rd,"Armonk, NY 10504",08/03/2017,"$1,850,000",Price Change
26 Round Hill Rd,"Armonk, NY 10504",09/18/2016,"$2,100,000",Listed For Sale
26 Round Hill Rd,"Armonk, NY 10504",06/04/1996,"$342,500",Sold
